4	-4	0	0	-8	2	-2	-2	-2	-4	-2	0	2	0	-4	2	2	0	-12	-6
-4	24	-10	-10	-8	-6	-6	-4	-10	-12	-10	-8	-6	-10	-8	0	-4	-4	-16	0
0	-10	8	6	-12	2	2	-4	0	-8	-6	4	-2	4	-2	0	0	-4	-13	-8
0	-10	6	8	-10	0	2	-4	0	-6	-4	2	-2	4	-2	0	0	-4	-13	-8
-8	-8	-12	-10	17	-10	-4	2	-10	4	0	-8	-10	-10	-8	-6	-6	-2	0	13
2	-6	2	0	-10	10	-4	-6	-4	-8	-6	0	-2	-2	-6	2	0	-2	-13	-10
-2	-6	2	2	-4	-4	12	-4	0	-4	-4	4	0	6	4	-2	-2	-4	-6	0
-2	-4	-4	-4	2	-6	-4	10	-4	4	4	-4	-4	-4	-4	-2	0	8	-10	-2
-2	-10	0	0	-10	-4	0	-4	10	-6	0	2	-2	2	6	0	0	-4	-6	-8
-4	-12	-8	-6	4	-8	-4	4	-6	12	8	-6	-6	-4	-6	-6	-4	4	-4	-2
-2	-10	-6	-4	0	-6	-4	4	0	8	12	-4	-4	-2	0	-4	-2	4	-8	-4
0	-8	4	2	-8	0	4	-4	2	-6	-4	4	-2	2	0	2	0	-4	-8	-4
2	-6	-2	-2	-10	-2	0	-4	-2	-6	-4	-2	12	0	0	2	0	-2	-12	-10
0	-10	4	4	-10	-2	6	-4	2	-4	-2	2	0	8	2	-2	-2	-4	-10	-8
-4	-8	-2	-2	-8	-6	4	-4	6	-6	0	0	0	2	12	0	-2	-4	4	-8
2	0	0	0	-6	2	-2	-2	0	-6	-4	2	2	-2	0	4	2	-2	-4	-6
2	-4	0	0	-6	0	-2	0	0	-4	-2	0	0	-2	-2	2	6	0	-10	-6
0	-4	-4	-4	-2	-2	-4	8	-4	4	4	-4	-2	-4	-4	-2	0	8	-12	-4
-12	-16	-13	-13	0	-13	-6	-10	-6	-4	-8	-8	-12	-10	4	-4	-10	-12	34	0
-6	0	-8	-8	13	-10	0	-2	-8	-2	-4	-4	-10	-8	-8	-6	-6	-4	0	20
